target_gene,matched_gene,match_rank,match_distance,target_mean_expression,matched_mean_expression,target_sd_expression,matched_sd_expression,target_probe_count,matched_probe_count,matched_mean_log2_delta,matched_direction
FNIP2,ZSWIM7,53,0.23264325054312276,7.7775,7.711666666666667,0.2993060154909868,0.2708851931700729,1,1,0.05666666666666664,increase
FNIP2,HIVEP1,54,0.23664033665217057,7.7775,7.904166666666667,0.2993060154909868,0.2996500484150665,1,1,0.021666666666666796,increase
FNIP2,ZNF791,55,0.2389886842624166,7.7775,7.615,0.2993060154909868,0.2928698128396424,1,1,0.020000000000000018,increase
FNIP2,ATRN,56,0.24007599279706046,7.7775,7.701666666666667,0.2993060154909868,0.2646724676869795,1,1,-0.036666666666666625,decrease
FNIP2,GOLM1,57,0.2410917948290997,7.7775,7.476666666666667,0.2993060154909868,0.3077287274483318,1,1,-0.14333333333333323,decrease
FNIP2,PRPF38A,58,0.24560398800544847,7.7775,7.715833333333333,0.2993060154909868,0.26383391240197546,1,1,-0.07500000000000002,decrease
FNIP2,SYDE1,59,0.24732054277271778,7.7775,7.6125,0.2993060154909868,0.33338825305149455,1,1,0.034999999999999996,increase
FNIP2,MINDY2,60,0.2479789584524423,7.7775,7.644166666666667,0.2993060154909868,0.3343503424779935,1,1,0.17499999999999996,increase
FNIP2,EXPH5,61,0.2480652699828046,7.7775,7.9366666666666665,0.2993060154909868,0.333802699845646,1,1,-0.0466666666666673,decrease
FNIP2,TDG,62,0.24820441588655306,7.7775,7.9325,0.2993060154909868,0.26632601347698937,1,1,-0.014999999999999977,decrease
FNIP2,POLR2J,63,0.25015147940200283,7.7775,8.145833333333334,0.2993060154909868,0.30935294151541914,1,1,0.1783333333333331,increase
FNIP2,RHBDD2,64,0.2506798494944098,7.7775,7.546666666666667,0.2993060154909868,0.3148544637341725,1,1,-0.15666666666666673,decrease
FNIP2,BIVM-ERCC5,65,0.2534918068382832,7.7775,7.3100000000000005,0.2993060154909868,0.2830354940799668,1,1,-0.06333333333333331,decrease
FNIP2,CSGALNACT2,66,0.25853358141000393,7.7775,8.081666666666667,0.2993060154909868,0.3068856267060871,1,1,0.11333333333333358,increase
FNIP2,SLC25A1,67,0.25917123933167824,7.7775,7.2941666666666665,0.2993060154909868,0.31312089832794127,1,1,-0.125,decrease
FNIP2,FAR1,68,0.2631686497974473,7.7775,7.986666666666666,0.2993060154909868,0.2799134065233661,1,1,-0.04999999999999997,decrease
FNIP2,PTPRC,69,0.26533464657539324,7.7775,7.278333333333333,0.2993060154909868,0.3167113206155734,1,1,-0.003333333333333114,decrease
FNIP2,PANX1,70,0.26613134377001374,7.7775,8.300833333333333,0.2993060154909868,0.3044953599686278,1,1,0.0683333333333332,increase
FNIP2,NECTIN2,71,0.26666466758375706,7.7775,7.9825,0.2993060154909868,0.2968049558517881,1,1,0.008333333333333748,increase
FNIP2,HTT,72,0.2667263695826587,7.7775,7.460833333333333,0.2993060154909868,0.26979650019070206,1,1,-0.07500000000000018,decrease
FNIP2,SDHC,73,0.26691848047909017,7.7775,7.435833333333333,0.2993060154909868,0.26881755669576124,1,1,-0.05833333333333327,decrease
FNIP2,CSPP1,74,0.26824837996256046,7.7775,7.5616666666666665,0.2993060154909868,0.28685863903302405,1,1,-0.13999999999999999,decrease
