gene	table_s1_protein	raw_protein_group	table_s1_log2fc_5uM_39h	raw_log2_delta	table_s1_direction	raw_direction	direction_agreement	raw_bde_detected	raw_vehicle_detected	raw_rank_by_delta_desc	table_s1_rank_by_delta_desc	raw_percentile_by_delta	table_s1_percentile_by_delta
EGFR	EGFR_HUMAN	P00533	-0.519539	-0.324139	decrease	decrease	TRUE	3	4	1127	1156	0.130502	0.108108
EHD1	EHD1_HUMAN	Q9H4M9	-0.675096	-0.031931	decrease	decrease	TRUE	3	4	693	1208	0.465637	0.067954
EHD2	EHD2_HUMAN	Q9NZN4	0.437805	0.146021	increase	increase	TRUE	3	3	335	271	0.742085	0.791506
EHD3	EHD3_HUMAN	Q9H223;Q9NZN3	-0.538094	0.351981	decrease	increase	FALSE	3	3	114	1167	0.912741	0.099614
EHD4	EHD4_HUMAN	Q9H223	-0.521247	-0.329991	decrease	decrease	TRUE	3	4	1131	1158	0.127413	0.106564
EIF1	EIF1_HUMAN	O60739;P41567	0.595035	-0.633302	increase	decrease	FALSE	3	4	1257	187	0.030116	0.856371
EIF2A	EIF2A_HUMAN	Q9BY44	-0.151319	0.164642	decrease	increase	FALSE	3	4	294	889	0.773745	0.314286
EIF3A	EIF3A_HUMAN	Q14152	0.023509	-0.015699	increase	decrease	FALSE	3	4	645	676	0.502703	0.478764
EIF3B	EIF3B_HUMAN	P55884	-0.054661	0.029878	decrease	increase	FALSE	3	4	549	768	0.576834	0.407722
EIF3C	EIF3C_HUMAN	Q99613	0.455547	-0.030505	increase	decrease	FALSE	3	4	687	263	0.470270	0.797683
EIF3D	EIF3D_HUMAN	O15371	-0.064108	-0.158039	decrease	decrease	TRUE	3	4	947	781	0.269498	0.397683
EIF3E	EIF3E_HUMAN	P60228	-0.521683	-0.118195	decrease	decrease	TRUE	3	4	882	1159	0.319691	0.105792
EIF3F	EIF3F_HUMAN	O00303	-0.013339	-0.036795	decrease	decrease	TRUE	3	4	707	720	0.454826	0.444788
EIF3G	EIF3G_HUMAN	O75821	-0.146530	-0.138479	decrease	decrease	TRUE	3	4	913	883	0.295753	0.318919
EIF3H	EIF3H_HUMAN	O15372	-0.079707	-0.036168	decrease	decrease	TRUE	3	4	705	797	0.456371	0.385328
EIF3I	EIF3I_HUMAN	Q13347	-0.295596	0.024825	decrease	increase	FALSE	3	4	564	1018	0.565251	0.214672
EIF3J	EIF3J_HUMAN	O75822	-0.090444	-0.237109	decrease	decrease	TRUE	3	4	1044	810	0.194595	0.375290
EIF3K	EIF3K_HUMAN	Q9UBQ5	0.043392	-0.977928	increase	decrease	FALSE	3	4	1289	657	0.005405	0.493436
EIF3L	EIF3L_HUMAN	Q9Y262	-0.528989	-0.084603	decrease	decrease	TRUE	3	4	815	1161	0.371429	0.104247
EIF3M	EIF3M_HUMAN	Q7L2H7	-0.040066	0.162982	decrease	increase	FALSE	3	4	297	756	0.771429	0.416988
ELMO1	ELMO1_HUMAN	Q92556;Q96JJ3	-0.640126	-0.067272	decrease	decrease	TRUE	3	4	779	1201	0.399228	0.073359
ELMO2	ELMO2_HUMAN	Q96JJ3	0.166312	-0.312649	increase	decrease	FALSE	3	4	1117	513	0.138224	0.604633
ELMO3	ELMO3_HUMAN	Q96BJ8	0.358841	0.148466	increase	increase	TRUE	3	4	329	338	0.746718	0.739768
ELOB	ELOB_HUMAN	Q15370	-0.784791	-0.733060	decrease	decrease	TRUE	3	4	1271	1225	0.019305	0.054826
ELOC	ELOC_HUMAN	Q15369	-0.346149	0.035697	decrease	increase	FALSE	3	4	535	1050	0.587645	0.189961
EMC1	EMC1_HUMAN	Q8N766	-0.481220	-0.255332	decrease	decrease	TRUE	3	4	1066	1143	0.177606	0.118147
EMC2	EMC2_HUMAN	Q15006	0.172920	-0.149964	increase	decrease	FALSE	3	4	933	504	0.280309	0.611583
EMC8	EMC8_HUMAN	O43402	-1.503214	0.217872	decrease	increase	FALSE	1	2	230	1281	0.823166	0.011583
EMD	EMD_HUMAN	P50402	-0.164246	0.142595	decrease	increase	FALSE	3	4	342	899	0.736680	0.306564
ENSA	ENSA_HUMAN	O43768	-0.461099	-0.744731	decrease	decrease	TRUE	3	4	1273	1133	0.017761	0.125869
ENY2	ENY2_HUMAN	Q9NPA8	0.746624	0.293064	increase	increase	TRUE	3	3	157	139	0.879537	0.893436
EOGT	EOGT_HUMAN	Q5NDL2	0.539394	0.394042	increase	increase	TRUE	3	4	97	219	0.925869	0.831660
EPN1	EPN1_HUMAN	Q9Y6I3	-0.028991	0.144519	decrease	increase	FALSE	3	4	339	743	0.738996	0.427027
EPS15	EPS15_HUMAN	P42566	0.807042	-0.089347	increase	decrease	FALSE	3	4	823	116	0.365251	0.911197
ERAP1	ERAP1_HUMAN	Q9NZ08	-0.296143	-0.206121	decrease	decrease	TRUE	3	4	1017	1020	0.215444	0.213127
ERAP2	ERAP2_HUMAN	Q6P179	1.301147	-0.713284	increase	decrease	FALSE	2	2	1268	35	0.021622	0.973745
ERBB2	ERBB2_HUMAN	P04626	-0.602973	0.849144	decrease	increase	FALSE	2	2	23	1191	0.983012	0.081081
ERBIN	ERBIN_HUMAN	Q96RT1	0.445236	0.304770	increase	increase	TRUE	3	4	149	268	0.885714	0.793822
ERG28	ERG28_HUMAN	Q9UKR5	0.285224	-0.210730	increase	decrease	FALSE	3	4	1020	402	0.213127	0.690347
ERH	ERH_HUMAN	P84090	-0.401910	-0.375541	decrease	decrease	TRUE	2	4	1166	1097	0.100386	0.153668
ERMP1	ERMP1_HUMAN	Q7Z2K6	0.236978	0.153633	increase	increase	TRUE	3	4	319	446	0.754440	0.656371
ERO1A	ERO1A_HUMAN	Q96HE7	-0.172663	-0.189529	decrease	decrease	TRUE	3	4	1002	905	0.227027	0.301931
ERP29	ERP29_HUMAN	P30040	0.125922	0.194017	increase	increase	TRUE	3	4	252	564	0.806178	0.565251
ERP44	ERP44_HUMAN	Q9BS26	0.031686	-0.167220	increase	decrease	FALSE	3	4	969	665	0.252510	0.487259
ESAM	ESAM_HUMAN	Q96AP7	-0.237830	-0.391870	decrease	decrease	TRUE	3	4	1176	976	0.092664	0.247104
ESYT1	ESYT1_HUMAN	Q9BSJ8	0.014671	-0.167063	increase	decrease	FALSE	3	4	968	684	0.253282	0.472587
ESYT2	ESYT2_HUMAN	A0FGR8	0.072429	-0.126241	increase	decrease	FALSE	3	4	896	626	0.308880	0.517375
ETFA	ETFA_HUMAN	P13804	-0.112980	-0.029864	decrease	decrease	TRUE	3	4	685	835	0.471815	0.355985
ETFB	ETFB_HUMAN	P38117	-0.044112	0.015688	decrease	increase	FALSE	3	4	582	759	0.551351	0.414672
ETHE1	ETHE1_HUMAN	O95571	0.432402	0.067360	increase	increase	TRUE	3	4	456	276	0.648649	0.787645
EVA1A	EVA1A_HUMAN	Q9H8M9	-0.469900	-0.519236	decrease	decrease	TRUE	3	4	1224	1137	0.055598	0.122780
EVL	EVL_HUMAN	Q9UI08	1.105114	-0.431229	increase	decrease	FALSE	3	4	1193	55	0.079537	0.958301
EXOC1	EXOC1_HUMAN	Q9NV70	-0.603601	-0.078297	decrease	decrease	TRUE	3	4	806	1192	0.378378	0.080309
EXOC2	EXOC2_HUMAN	Q96KP1	0.354118	0.239015	increase	increase	TRUE	3	4	210	342	0.838610	0.736680
EXOC3	EXOC3_HUMAN	O60645	-0.581298	-0.195965	decrease	decrease	TRUE	3	4	1006	1183	0.223938	0.087259
EXOC4	EXOC4_HUMAN	Q96A65	0.210349	0.173826	increase	increase	TRUE	3	4	285	475	0.780695	0.633977
EXOC5	EXOC5_HUMAN	O00471	0.519480	0.065748	increase	increase	TRUE	3	4	461	230	0.644788	0.823166
EXOC7	EXOC7_HUMAN	Q9UPT5	1.045438	0.092942	increase	increase	TRUE	3	4	415	66	0.680309	0.949807
EXOC8	EXOC8_HUMAN	Q8IYI6	-0.336793	0.095389	decrease	increase	FALSE	3	4	413	1044	0.681853	0.194595
EXTL3	EXTL3_HUMAN	O43909	-0.385349	-0.878002	decrease	decrease	TRUE	2	1	1282	1079	0.010811	0.167568
FABP5	FABP5_HUMAN	Q01469	-0.998771	-0.695251	decrease	decrease	TRUE	3	4	1264	1252	0.024710	0.033977
FABP7	FABP7_HUMAN	O15540	-1.185664	-0.143672	decrease	decrease	TRUE	2	3	923	1269	0.288031	0.020849
FAF2	FAF2_HUMAN	Q96CS3	0.387370	-0.040225	increase	decrease	FALSE	3	4	716	315	0.447876	0.757529
FAHD1	FAHD1_HUMAN	Q6P587	0.439683	-0.102319	increase	decrease	FALSE	3	4	852	269	0.342857	0.793050
FAM3C	FAM3C_HUMAN	Q92520	0.103100	-0.075108	increase	decrease	FALSE	3	4	798	591	0.384556	0.544402
FBLN1	FBLN1_HUMAN	P23142	0.086668	0.080993	increase	increase	TRUE	3	4	437	610	0.663320	0.529730
FBN1	FBN1_HUMAN	P35555	-0.256181	0.497145	decrease	increase	FALSE	3	3	65	987	0.950579	0.238610
FBXL8	FBXL8_HUMAN	Q96CD0	0.259995	-0.054637	increase	decrease	FALSE	3	4	749	423	0.422394	0.674131
FCHO2	FCHO2_HUMAN	Q0JRZ9	-0.260238	-0.158340	decrease	decrease	TRUE	3	4	948	993	0.268726	0.233977
FEN1	FEN1_HUMAN	P39748	0.081233	0.182834	increase	increase	TRUE	3	4	270	617	0.792278	0.524324
FHL1	FHL1_HUMAN	Q13642	-1.203234	-0.350333	decrease	decrease	TRUE	3	4	1150	1270	0.112741	0.020077
FHL2	FHL2_HUMAN	Q14192	0.122333	-0.295448	increase	decrease	FALSE	3	4	1104	570	0.148263	0.560618
FIS1	FIS1_HUMAN	Q9Y3D6	0.540300	0.061669	increase	increase	TRUE	3	4	479	218	0.630888	0.832432
FKBP2	FKBP2_HUMAN	P26885	0.116097	0.249521	increase	increase	TRUE	3	4	195	577	0.850193	0.555212
FKBP3	FKBP3_HUMAN	Q00688	-0.631779	-0.105909	decrease	decrease	TRUE	3	4	858	1199	0.338224	0.074903
FKBP4	FKBP4_HUMAN	Q02790	-0.186522	-0.202754	decrease	decrease	TRUE	3	4	1014	922	0.217761	0.288803
FKBP5	FKBP5_HUMAN	Q13451	0.683582	0.063430	increase	increase	TRUE	1	1	472	154	0.636293	0.881853
FKBP7	FKBP7_HUMAN	Q9Y680	0.563424	0.028452	increase	increase	TRUE	3	4	556	206	0.571429	0.841699
FKBP9	FKBP9_HUMAN	O95302	-0.175856	0.307041	decrease	increase	FALSE	3	4	148	911	0.886486	0.297297
FLII	FLII_HUMAN	Q13045	0.498365	0.115761	increase	increase	TRUE	3	4	386	241	0.702703	0.814672
FLNA	FLNA_HUMAN	O75369;P21333;Q14315	-0.211376	-0.022568	decrease	decrease	TRUE	3	4	670	950	0.483398	0.267181
FLNB	FLNB_HUMAN	O75369	0.012998	0.064171	increase	increase	TRUE	3	4	466	688	0.640927	0.469498
FLNC	FLNC_HUMAN	Q14315	0.378380	-0.117932	increase	decrease	FALSE	2	3	880	321	0.321236	0.752896
FLOT1	FLOT1_HUMAN	O75955	0.157640	-0.065690	increase	decrease	FALSE	3	4	777	526	0.400772	0.594595
FLOT2	FLOT2_HUMAN	Q14254	0.283059	0.037226	increase	increase	TRUE	3	4	530	406	0.591506	0.687259
FMNL2	FMNL2_HUMAN	Q96PY5	0.349168	0.128887	increase	increase	TRUE	3	4	369	348	0.715830	0.732046
FMR1	FMR1_HUMAN	P51114;P51116;Q06787	-0.147068	0.101561	decrease	increase	FALSE	3	4	408	886	0.685714	0.316602
FNTA	FNTA_HUMAN	P49354	0.469461	-0.128222	increase	decrease	FALSE	3	4	901	253	0.305019	0.805405
FNTB	FNTB_HUMAN	P49356	0.864386	0.064791	increase	increase	TRUE	3	4	463	105	0.643243	0.919691
FOCAD	FOCAD_HUMAN	Q5VW36	2.204737	-0.104829	increase	decrease	FALSE	3	2	857	10	0.338996	0.993050
FRYL	FRYL_HUMAN	O94915	2.779163	-0.075179	increase	decrease	FALSE	3	4	800	4	0.383012	0.997683
FSCN1	FSCN1_HUMAN	Q16658	0.155825	0.261022	increase	increase	TRUE	3	4	181	528	0.861004	0.593050
FSTL1	FSTL1_HUMAN	Q12841	0.169458	0.318957	increase	increase	TRUE	3	4	137	510	0.894981	0.606950
FUBP1	FUBP1_HUMAN	Q96AE4	0.295005	0.020655	increase	increase	TRUE	3	4	573	395	0.558301	0.695753
FUBP3	FUBP3_HUMAN	Q96I24	0.333625	-0.057166	increase	decrease	FALSE	3	4	756	366	0.416988	0.718147
FUS	FUS_HUMAN	P35637;Q92804	0.025864	-0.576263	increase	decrease	FALSE	3	4	1241	672	0.042471	0.481853
FUT8	FUT8_HUMAN	Q9BYC5	-0.181652	-0.309735	decrease	decrease	TRUE	3	3	1116	915	0.138996	0.294208
FXR1	FXR1_HUMAN	P51114;P51116	0.030765	-0.402182	increase	decrease	FALSE	2	3	1179	667	0.090347	0.485714
G3BP1	G3BP1_HUMAN	Q13283	0.493553	0.018414	increase	increase	TRUE	3	4	578	244	0.554440	0.812355
G3BP2	G3BP2_HUMAN	Q9UN86	0.439669	0.314814	increase	increase	TRUE	3	4	140	270	0.892664	0.792278
G6PD	G6PD_HUMAN	P11413	0.114753	-0.174896	increase	decrease	FALSE	3	4	977	579	0.246332	0.553668
GAK	GAK_HUMAN	O14976	-0.220210	0.248164	decrease	increase	FALSE	3	4	196	960	0.849421	0.259459
GALE	GALE_HUMAN	Q14376	-0.176347	-0.531218	decrease	decrease	TRUE	3	4	1228	912	0.052510	0.296525
GALK1	GALK1_HUMAN	P51570	-0.136331	-0.017378	decrease	decrease	TRUE	3	4	651	864	0.498069	0.333591
GALM	GALM_HUMAN	Q96C23	-0.257096	-0.071640	decrease	decrease	TRUE	3	4	790	989	0.390734	0.237066
GALNS	GALNS_HUMAN	P34059	0.555599	0.009727	increase	increase	TRUE	3	3	593	209	0.542857	0.839382
GALT	GALT_HUMAN	P07902	-0.027508	0.112668	decrease	increase	FALSE	3	4	391	740	0.698842	0.429344
GANAB	GANAB_HUMAN	Q14697	-0.026135	0.001098	decrease	increase	FALSE	3	4	607	737	0.532046	0.431660
GAR1	GAR1_HUMAN	Q9NY12	0.320494	1.102444	increase	increase	TRUE	2	2	7	375	0.995367	0.711197
GBF1	GBF1_HUMAN	Q92538	0.154192	0.066117	increase	increase	TRUE	3	4	460	530	0.645560	0.591506
GBP1	GBP1_HUMAN	P32455	-0.223764	-0.281632	decrease	decrease	TRUE	3	4	1091	963	0.158301	0.257143
GCN1	GCN1_HUMAN	Q92616	-0.233533	0.030462	decrease	increase	FALSE	3	4	547	971	0.578378	0.250965
GCSH	GCSH_HUMAN	P23434	0.917856	-0.385095	increase	decrease	FALSE	3	4	1172	90	0.095753	0.931274
GDPD3	GDPD3_HUMAN	Q7L5L3	0.946126	-0.181539	increase	decrease	FALSE	3	4	986	82	0.239382	0.937452
GFPT1	GFPT1_HUMAN	Q06210	-0.205005	0.009245	decrease	increase	FALSE	3	4	594	943	0.542085	0.272587
GGCT	GGCT_HUMAN	O75223	-0.193253	-0.257532	decrease	decrease	TRUE	3	4	1068	931	0.176062	0.281853
GGH	GGH_HUMAN	Q92820	0.071566	0.046176	increase	increase	TRUE	2	3	510	629	0.606950	0.515058
GHDC	GHDC_HUMAN	Q8N2G8	1.799704	0.444179	increase	increase	TRUE	3	4	77	16	0.941313	0.988417
GIPC1	GIPC1_HUMAN	O14908	-0.443506	0.005618	decrease	increase	FALSE	3	4	600	1124	0.537452	0.132819
GIT2	GIT2_HUMAN	Q14161	-0.020958	0.151083	decrease	increase	FALSE	3	4	324	730	0.750579	0.437066
GLOD4	GLOD4_HUMAN	Q9HC38	0.232294	-0.046096	increase	decrease	FALSE	3	4	725	453	0.440927	0.650965
GLRX3	GLRX3_HUMAN	O76003	-0.919822	-0.518567	decrease	decrease	TRUE	3	4	1223	1247	0.056371	0.037838
GLRX5	GLRX5_HUMAN	Q86SX6	0.879571	0.188807	increase	increase	TRUE	3	4	260	100	0.800000	0.923552
GLYR1	GLYR1_HUMAN	Q49A26	0.695843	0.298089	increase	increase	TRUE	3	4	154	149	0.881853	0.885714
GMDS	GMDS_HUMAN	O60547	0.291434	0.531964	increase	increase	TRUE	3	4	58	398	0.955985	0.693436
GMFB	GMFB_HUMAN	P60983	0.160926	-0.033406	increase	decrease	FALSE	3	4	697	518	0.462548	0.600772
GMPPA	GMPPA_HUMAN	Q96IJ6	0.263534	0.121392	increase	increase	TRUE	3	4	379	421	0.708108	0.675676
GMPPB	GMPPB_HUMAN	Q9Y5P6	0.153352	0.183839	increase	increase	TRUE	3	4	269	531	0.793050	0.590734
GMPR2	GMPR2_HUMAN	Q9P2T1	0.082408	-0.979654	increase	decrease	FALSE	1	1	1290	615	0.004633	0.525869
GNA11	GNA11_HUMAN	P29992;P50148	0.684414	0.237358	increase	increase	TRUE	3	4	213	153	0.836293	0.882625
GNA13	GNA13_HUMAN	Q14344	-0.072242	0.066625	decrease	increase	FALSE	3	4	458	789	0.647104	0.391506
GNAI1	GNAI1_HUMAN	P04899;P08754;P63096;Q5JWF2	-0.003697	-0.085116	decrease	decrease	TRUE	3	4	818	704	0.369112	0.457143
GNAI2	GNAI2_HUMAN	P04899	0.125138	0.086573	increase	increase	TRUE	3	4	427	565	0.671042	0.564479
GNAI3	GNAI3_HUMAN	P08754	0.018873	-0.172935	increase	decrease	FALSE	3	4	974	681	0.248649	0.474903
GNAQ	GNAQ_HUMAN	P50148	2.139903	-0.056790	increase	decrease	FALSE	3	4	754	11	0.418533	0.992278
GNL1	GNL1_HUMAN	P36915	0.567098	-0.016583	increase	decrease	FALSE	3	4	648	199	0.500386	0.847104
GNS	GNS_HUMAN	P15586	-0.054213	-0.264547	decrease	decrease	TRUE	3	4	1073	766	0.172201	0.409266
GON7	GON7_HUMAN	Q9BXV9	-0.416723	1.185456	decrease	increase	FALSE	1	1	4	1111	0.997683	0.142857
GOPC	GOPC_HUMAN	Q9HD26	0.058011	-0.034630	increase	decrease	FALSE	3	4	701	638	0.459459	0.508108
GOSR2	GOSR2_HUMAN	O14653	0.581214	0.200120	increase	increase	TRUE	2	4	248	191	0.809266	0.853282
GPAA1	GPAA1_HUMAN	O43292	-0.006957	-0.491652	decrease	decrease	TRUE	3	4	1215	711	0.062548	0.451737
GPNMB	GPNMB_HUMAN	Q14956	0.015495	-0.364294	increase	decrease	FALSE	3	4	1162	683	0.103475	0.473359
GPX1	GPX1_HUMAN	P07203	-0.194114	-0.274938	decrease	decrease	TRUE	3	4	1083	933	0.164479	0.280309
GPX4	GPX4_HUMAN	P36969	-0.538819	-0.338659	decrease	decrease	TRUE	3	4	1139	1168	0.121236	0.098842
GPX7	GPX7_HUMAN	Q96SL4	-0.028862	-0.126954	decrease	decrease	TRUE	3	4	897	742	0.308108	0.427799
GPX8	GPX8_HUMAN	Q8TED1	-0.209701	-0.031177	decrease	decrease	TRUE	3	4	690	947	0.467954	0.269498
GRB2	GRB2_HUMAN	P62993	-0.313498	0.158688	decrease	increase	FALSE	3	4	302	1032	0.767568	0.203861
GRHPR	GRHPR_HUMAN	Q9UBQ7	-0.049250	0.104428	decrease	increase	FALSE	3	4	403	762	0.689575	0.412355
GRN	GRN_HUMAN	P28799	-0.471028	-0.075609	decrease	decrease	TRUE	3	4	801	1138	0.382239	0.122008
GSDMD	GSDMD_HUMAN	P57764	0.476570	-0.103020	increase	decrease	FALSE	3	4	854	248	0.341313	0.809266
GSK3A	GSK3A_HUMAN	P49840	1.995222	-0.402254	increase	decrease	FALSE	2	4	1180	14	0.089575	0.989961
GSK3B	GSK3B_HUMAN	P49841	-1.456322	-0.086940	decrease	decrease	TRUE	3	4	821	1280	0.366795	0.012355
GSTK1	GSTK1_HUMAN	Q9Y2Q3	0.095701	-0.106438	increase	decrease	FALSE	3	4	859	599	0.337452	0.538224
GSTO1	GSTO1_HUMAN	P78417	0.204308	-0.165206	increase	decrease	FALSE	3	4	964	482	0.256371	0.628571
GSTP1	GSTP1_HUMAN	P09211	0.391192	0.114183	increase	increase	TRUE	3	4	389	307	0.700386	0.763707
GYS1	GYS1_HUMAN	P13807	0.495168	0.238737	increase	increase	TRUE	3	4	211	242	0.837838	0.813900
H2AX	H2AX_HUMAN	P16104	0.553818	0.089145	increase	increase	TRUE	3	4	420	212	0.676448	0.837066
HACD3	HACD3_HUMAN	Q9P035	0.067344	-0.457540	increase	decrease	FALSE	3	4	1204	633	0.071042	0.511969
HBB	HBB_HUMAN	P68871;P69892	-0.495148	1.140596	decrease	increase	FALSE	3	4	5	1146	0.996911	0.115830
HBG2	HBG2_HUMAN	P69892	0.285177	0.171108	increase	increase	TRUE	3	4	288	403	0.778378	0.689575
HBS1L	HBS1L_HUMAN	Q9Y450	0.338254	0.307340	increase	increase	TRUE	3	4	147	364	0.887259	0.719691
HCFC1	HCFC1_HUMAN	P51610	-0.131748	0.139601	decrease	increase	FALSE	3	4	349	857	0.731274	0.338996
HCLS1	HCLS1_HUMAN	P14317	-0.370611	-0.185337	decrease	decrease	TRUE	3	4	994	1069	0.233205	0.175290
HDAC1	HDAC1_HUMAN	Q13547;Q92769	0.057557	0.328851	increase	increase	TRUE	3	4	130	639	0.900386	0.507336
HDAC2	HDAC2_HUMAN	Q92769	-0.397309	0.138218	decrease	increase	FALSE	3	4	352	1092	0.728958	0.157529
HDDC2	HDDC2_HUMAN	Q7Z4H3	0.119905	0.016517	increase	increase	TRUE	3	4	581	571	0.552124	0.559846
HDGF	HDGF_HUMAN	P51858	-0.331477	0.101977	decrease	increase	FALSE	3	4	405	1038	0.688031	0.199228
HDHD2	HDHD2_HUMAN	Q9H0R4	0.647084	0.307413	increase	increase	TRUE	3	4	145	164	0.888803	0.874131
HDHD5	HDHD5_HUMAN	Q9BXW7	0.058917	-0.248133	increase	decrease	FALSE	3	3	1053	637	0.187645	0.508880
HEBP1	HEBP1_HUMAN	Q9NRV9	-0.375612	-0.068856	decrease	decrease	TRUE	3	4	781	1073	0.397683	0.172201
HEBP2	HEBP2_HUMAN	Q9Y5Z4	-0.301315	-0.162006	decrease	decrease	TRUE	3	4	957	1022	0.261776	0.211583
HERC4	HERC4_HUMAN	Q5GLZ8	0.021818	-0.152408	increase	decrease	FALSE	3	4	936	678	0.277992	0.477220
HEXA	HEXA_HUMAN	P06865	0.163702	-0.100355	increase	decrease	FALSE	3	4	849	517	0.345174	0.601544
HEXB	HEXB_HUMAN	P07686	-0.242963	-0.040464	decrease	decrease	TRUE	3	4	717	979	0.447104	0.244788
HGS	HGS_HUMAN	O14964	-0.235754	0.611241	decrease	increase	FALSE	3	4	42	972	0.968340	0.250193
HIBCH	HIBCH_HUMAN	Q6NVY1	0.374418	0.403827	increase	increase	TRUE	3	4	95	324	0.927413	0.750579
HINT1	HINT1_HUMAN	P49773	-0.575066	-0.221265	decrease	decrease	TRUE	3	4	1031	1181	0.204633	0.088803
HINT2	HINT2_HUMAN	Q9BX68	0.270671	0.341556	increase	increase	TRUE	3	4	117	415	0.910425	0.680309
HIP1	HIP1_HUMAN	O00291	-0.053704	0.339995	decrease	increase	FALSE	3	4	120	765	0.908108	0.410039
HIP1R	HIP1R_HUMAN	O75146	-0.363308	0.027013	decrease	increase	FALSE	3	4	560	1060	0.568340	0.182239
HM13	HM13_HUMAN	Q8TCT9	-0.160039	-0.388460	decrease	decrease	TRUE	3	4	1174	894	0.094208	0.310425
HMGA1	HMGA1_HUMAN	P17096	-0.263441	-0.853166	decrease	decrease	TRUE	3	4	1281	995	0.011583	0.232432
HMGB1	HMGB1_HUMAN	P09429	-0.376352	-0.081799	decrease	decrease	TRUE	3	4	813	1075	0.372973	0.170656
HMGB2	HMGB2_HUMAN	P26583	-0.324952	-0.162461	decrease	decrease	TRUE	3	4	960	1035	0.259459	0.201544
HMGB3	HMGB3_HUMAN	O15347	-0.303659	-0.222711	decrease	decrease	TRUE	3	4	1034	1025	0.202317	0.209266
HMGCL	HMGCL_HUMAN	P35914	0.571194	0.181193	increase	increase	TRUE	3	4	275	197	0.788417	0.848649
HMGN1	HMGN1_HUMAN	P05114	0.056328	0.969662	increase	increase	TRUE	3	4	11	640	0.992278	0.506564
HMGN2	HMGN2_HUMAN	P05204;Q15651	0.139688	0.310582	increase	increase	TRUE	1	4	143	545	0.890347	0.579923
HMOX1	HMOX1_HUMAN	P09601	-0.391440	-0.224530	decrease	decrease	TRUE	3	4	1036	1086	0.200772	0.162162
HMOX2	HMOX2_HUMAN	P30519	0.156369	0.144592	increase	increase	TRUE	3	4	338	527	0.739768	0.593822
HNMT	HNMT_HUMAN	P50135	-0.358650	0.277058	decrease	increase	FALSE	3	4	168	1056	0.871042	0.185328
HOOK2	HOOK2_HUMAN	Q96ED9	1.237646	0.212303	increase	increase	TRUE	2	4	233	42	0.820849	0.968340
HOOK3	HOOK3_HUMAN	Q86VS8	0.312610	-0.121020	increase	decrease	FALSE	3	4	891	380	0.312741	0.707336
HSBP1	HSBP1_HUMAN	O75506	0.230999	0.086176	increase	increase	TRUE	2	4	429	454	0.669498	0.650193
HSDL2	HSDL2_HUMAN	Q6YN16	-0.017157	0.053103	decrease	increase	FALSE	3	4	495	725	0.618533	0.440927
HSPB1	HSPB1_HUMAN	P04792	0.173589	-0.178376	increase	decrease	FALSE	3	4	983	503	0.241699	0.612355
HSPB6	HSPB6_HUMAN	O14558	-0.006746	-0.038368	decrease	decrease	TRUE	3	3	709	709	0.453282	0.453282
HSPB8	HSPB8_HUMAN	Q9UJY1	0.511858	0.276101	increase	increase	TRUE	3	4	170	235	0.869498	0.819305
HTRA2	HTRA2_HUMAN	O43464	0.159102	-0.300966	increase	decrease	FALSE	3	4	1110	522	0.143629	0.597683
HUWE1	HUWE1_HUMAN	Q7Z6Z7	0.573414	-0.033660	increase	decrease	FALSE	3	4	698	196	0.461776	0.849421
HYI	HYI_HUMAN	Q5T013	0.311274	-0.097359	increase	decrease	FALSE	3	4	841	381	0.351351	0.706564
HYOU1	HYOU1_HUMAN	Q9Y4L1	0.379788	0.087156	increase	increase	TRUE	3	4	425	319	0.672587	0.754440
HYPK	HYPK_HUMAN	Q9NX55	-0.017811	0.388575	decrease	increase	FALSE	1	3	101	728	0.922780	0.438610
IAH1	IAH1_HUMAN	Q2TAA2	0.469156	0.442559	increase	increase	TRUE	3	4	79	254	0.939768	0.804633
IDE	IDE_HUMAN	P14735	0.632309	-0.132159	increase	decrease	FALSE	3	4	905	176	0.301931	0.864865
IDH3A	IDH3A_HUMAN	P50213	0.103734	0.108563	increase	increase	TRUE	3	4	397	589	0.694208	0.545946
IDH3B	IDH3B_HUMAN	O43837	0.206719	0.304699	increase	increase	TRUE	3	4	150	481	0.884942	0.629344
IDH3G	IDH3G_HUMAN	P51553	0.303803	0.281168	increase	increase	TRUE	3	4	163	386	0.874903	0.702703
IFIH1	IFIH1_HUMAN	Q9BYX4	-0.207889	-0.245526	decrease	decrease	TRUE	3	4	1051	945	0.189189	0.271042
IFIT1	IFIT1_HUMAN	P09914	-1.286264	-0.547417	decrease	decrease	TRUE	3	4	1231	1275	0.050193	0.016216
IFIT3	IFIT3_HUMAN	O14879	-0.832493	-0.515061	decrease	decrease	TRUE	3	4	1221	1234	0.057915	0.047876
IFIT5	IFIT5_HUMAN	Q13325	-0.193301	-0.031567	decrease	decrease	TRUE	3	4	691	932	0.467181	0.281081
IFT20	IFT20_HUMAN	Q8IY31	-0.599484	1.194998	decrease	increase	FALSE	3	4	3	1190	0.998456	0.081853
IFT25	IFT25_HUMAN	Q9Y547	-0.056318	0.212414	decrease	increase	FALSE	1	4	232	770	0.821622	0.406178
IGBP1	IGBP1_HUMAN	P78318	0.228954	0.278384	increase	increase	TRUE	3	4	166	456	0.872587	0.648649
